Date (TU),Discharge
2022-04-04T11:00:00.000Z,86
2022-04-04T12:00:00.000Z,73
2022-04-04T13:00:00.000Z,65
2022-04-04T14:00:00.000Z,57.4
2022-04-04T15:00:00.000Z,52
2022-04-04T16:00:00.000Z,47.5
2022-04-04T17:00:00.000Z,42.9
2022-04-04T18:00:00.000Z,33.9
2022-04-04T19:00:00.000Z,36
2022-04-04T20:00:00.000Z,37.6
2022-04-04T21:00:00.000Z,37.5
2022-04-04T22:00:00.000Z,37.4
2022-04-04T23:00:00.000Z,37.4
2022-04-05T00:00:00.000Z,37.3
2022-04-05T01:00:00.000Z,37.2
2022-04-05T02:00:00.000Z,37.2
2022-04-05T03:00:00.000Z,36.3
2022-04-05T04:00:00.000Z,32.9
2022-04-05T05:00:00.000Z,38
2022-04-05T06:00:00.000Z,38.2
2022-04-05T07:00:00.000Z,37.5
2022-04-05T08:00:00.000Z,36.9
2022-04-05T09:00:00.000Z,36.8
2022-04-05T10:00:00.000Z,36.8
2022-04-05T11:00:00.000Z,36.7
2022-04-05T12:00:00.000Z,36.7
2022-04-05T13:00:00.000Z,36.7
2022-04-05T14:00:00.000Z,36.9
2022-04-05T15:00:00.000Z,37.1
2022-04-05T16:00:00.000Z,37.4
2022-04-05T17:00:00.000Z,37.6
2022-04-05T18:00:00.000Z,37.9
2022-04-05T19:00:00.000Z,38.2
2022-04-05T20:00:00.000Z,38.4
2022-04-05T21:00:00.000Z,38.7
2022-04-05T22:00:00.000Z,39
2022-04-05T23:00:00.000Z,44
2022-04-06T00:00:00.000Z,61.9
2022-04-06T01:00:00.000Z,59.3
2022-04-06T02:00:00.000Z,55.9
2022-04-06T03:00:00.000Z,69.9
2022-04-06T04:00:00.000Z,74.5
2022-04-06T05:00:00.000Z,74.6
2022-04-06T06:00:00.000Z,74.5
2022-04-06T07:00:00.000Z,74.7
2022-04-06T08:00:00.000Z,76.6
2022-04-06T09:00:00.000Z,77.1
2022-04-06T10:00:00.000Z,77.1
2022-04-06T11:00:00.000Z,76.2
2022-04-06T12:00:00.000Z,77.4
2022-04-06T13:00:00.000Z,76.8
2022-04-06T14:00:00.000Z,75.5
2022-04-06T15:00:00.000Z,75.1
2022-04-06T16:00:00.000Z,75.2
2022-04-06T17:00:00.000Z,72.9
2022-04-06T18:00:00.000Z,68.8
2022-04-06T19:00:00.000Z,60.5
2022-04-06T20:00:00.000Z,54
2022-04-06T21:00:00.000Z,55.3
2022-04-06T22:00:00.000Z,56
2022-04-06T23:00:00.000Z,56
2022-04-07T00:00:00.000Z,56
2022-04-07T01:00:00.000Z,56
2022-04-07T02:00:00.000Z,56
2022-04-07T03:00:00.000Z,56
2022-04-07T04:00:00.000Z,56.2
2022-04-07T05:00:00.000Z,71.7
2022-04-07T06:00:00.000Z,101
2022-04-07T07:00:00.000Z,130
2022-04-07T08:00:00.000Z,152
2022-04-07T09:00:00.000Z,153
2022-04-07T10:00:00.000Z,153
2022-04-07T11:00:00.000Z,151
2022-04-07T12:00:00.000Z,154
2022-04-07T13:00:00.000Z,154
2022-04-07T14:00:00.000Z,154
2022-04-07T15:00:00.000Z,150
2022-04-07T16:00:00.000Z,138
2022-04-07T17:00:00.000Z,130
2022-04-07T18:00:00.000Z,121
2022-04-07T19:00:00.000Z,117
2022-04-07T20:00:00.000Z,125
2022-04-07T21:00:00.000Z,136
2022-04-07T22:00:00.000Z,153
2022-04-07T23:00:00.000Z,187
2022-04-08T00:00:00.000Z,204
2022-04-08T01:00:00.000Z,215
2022-04-08T02:00:00.000Z,221
2022-04-08T03:00:00.000Z,224
2022-04-08T04:00:00.000Z,225
2022-04-08T05:00:00.000Z,226
2022-04-08T06:00:00.000Z,226
2022-04-08T07:00:00.000Z,228
2022-04-08T08:00:00.000Z,242
2022-04-08T09:00:00.000Z,255
2022-04-08T10:00:00.000Z,255
2022-04-08T11:00:00.000Z,256
2022-04-08T12:00:00.000Z,256
2022-04-08T13:00:00.000Z,257
2022-04-08T14:00:00.000Z,257
2022-04-08T15:00:00.000Z,258
2022-04-08T16:00:00.000Z,257
2022-04-08T17:00:00.000Z,257
2022-04-08T18:00:00.000Z,257
2022-04-08T19:00:00.000Z,257
2022-04-08T20:00:00.000Z,257
2022-04-08T21:00:00.000Z,257
2022-04-08T22:00:00.000Z,257
2022-04-08T23:00:00.000Z,257
2022-04-09T00:00:00.000Z,257
2022-04-09T01:00:00.000Z,256
2022-04-09T02:00:00.000Z,256
2022-04-09T03:00:00.000Z,256
2022-04-09T04:00:00.000Z,256
2022-04-09T05:00:00.000Z,256
2022-04-09T06:00:00.000Z,256
2022-04-09T07:00:00.000Z,256
2022-04-09T08:00:00.000Z,256
2022-04-09T09:00:00.000Z,245
2022-04-09T10:00:00.000Z,221
2022-04-09T11:00:00.000Z,215
2022-04-09T12:00:00.000Z,213
2022-04-09T13:00:00.000Z,212
2022-04-09T14:00:00.000Z,212
2022-04-09T15:00:00.000Z,212
2022-04-09T16:00:00.000Z,212
2022-04-09T17:00:00.000Z,212
2022-04-09T18:00:00.000Z,212
2022-04-09T19:00:00.000Z,212
2022-04-09T20:00:00.000Z,212
2022-04-09T21:00:00.000Z,211
2022-04-09T22:00:00.000Z,205
2022-04-09T23:00:00.000Z,187
2022-04-10T00:00:00.000Z,181
2022-04-10T01:00:00.000Z,180
2022-04-10T02:00:00.000Z,180
2022-04-10T03:00:00.000Z,176
2022-04-10T04:00:00.000Z,178
2022-04-10T05:00:00.000Z,161
2022-04-10T06:00:00.000Z,142
2022-04-10T07:00:00.000Z,137
2022-04-10T08:00:00.000Z,136
2022-04-10T09:00:00.000Z,135
2022-04-10T10:00:00.000Z,135
2022-04-10T11:00:00.000Z,135
2022-04-10T12:00:00.000Z,135
2022-04-10T13:00:00.000Z,135
2022-04-10T14:00:00.000Z,134
2022-04-10T15:00:00.000Z,134
2022-04-10T16:00:00.000Z,134
2022-04-10T17:00:00.000Z,134
2022-04-10T18:00:00.000Z,134
2022-04-10T19:00:00.000Z,134
2022-04-10T20:00:00.000Z,133
2022-04-10T21:00:00.000Z,130
2022-04-10T22:00:00.000Z,117
2022-04-10T23:00:00.000Z,97.1
2022-04-11T00:00:00.000Z,97
2022-04-11T01:00:00.000Z,86.6
2022-04-11T02:00:00.000Z,76.3
2022-04-11T03:00:00.000Z,69.6
2022-04-11T04:00:00.000Z,64.5
2022-04-11T05:00:00.000Z,62.9
2022-04-11T06:00:00.000Z,66.1
2022-04-11T07:00:00.000Z,79.6
2022-04-11T08:00:00.000Z,92.8
2022-04-11T09:00:00.000Z,102
2022-04-11T10:00:00.000Z,104
2022-04-11T11:00:00.000Z,105
2022-04-11T12:00:00.000Z,104
2022-04-11T13:00:00.000Z,104
2022-04-11T14:00:00.000Z,104
2022-04-11T15:00:00.000Z,104
2022-04-11T16:00:00.000Z,104
2022-04-11T17:00:00.000Z,104
2022-04-11T18:00:00.000Z,104
2022-04-11T19:00:00.000Z,104
2022-04-11T20:00:00.000Z,102
2022-04-11T21:00:00.000Z,97.4
2022-04-11T22:00:00.000Z,95.3
2022-04-11T23:00:00.000Z,94.9
2022-04-12T00:00:00.000Z,94.7
2022-04-12T01:00:00.000Z,94.4
