Datetime,Discharge
1/9/2025 0:00,7.72827552
1/9/2025 0:10,10.32084841
1/9/2025 0:20,18.09739661
1/9/2025 0:30,17.58824573
1/9/2025 0:40,15.17358303
1/9/2025 0:50,13.51308789
1/9/2025 1:00,11.68716748
1/9/2025 1:10,9.1546783
1/9/2025 1:20,9.428956516
1/9/2025 1:30,9.062601972
1/9/2025 1:40,7.376746826
1/9/2025 1:50,5.910548344
1/9/2025 2:00,4.932432432
1/9/2025 2:10,5.395545151
1/9/2025 2:20,9.159750301
1/9/2025 2:30,10.21784777
1/9/2025 2:40,9.198375541
1/9/2025 2:50,7.496524083
1/9/2025 3:00,4.842306874
1/9/2025 3:10,2.929811147
1/9/2025 3:20,2.99215767
1/9/2025 3:30,2.866092216
1/9/2025 3:40,2.595531833
1/9/2025 3:50,2.447507855
1/9/2025 4:00,2.214786713
1/9/2025 4:10,1.837374584
1/9/2025 4:20,1.165286907
1/9/2025 4:30,1
1/9/2025 4:40,1
1/9/2025 4:50,1
1/9/2025 5:00,1.298018341
1/9/2025 5:10,1.629748898
1/9/2025 5:20,1.521524745
1/9/2025 5:30,2.016571823
1/9/2025 5:40,2.839232236
1/9/2025 5:50,4.219231042
1/9/2025 6:00,6.269489962
1/9/2025 6:10,6.975668582
1/9/2025 6:20,2.63160655
1/9/2025 6:30,1.838158817
1/9/2025 6:40,3.289884373
1/9/2025 6:50,9.402426048
1/9/2025 7:00,15.14276087
1/9/2025 7:10,14.77757679
1/9/2025 7:20,9.465240831
1/9/2025 7:30,9.232318933
1/9/2025 7:40,13.49475066
1/9/2025 7:50,18.57065333
1/9/2025 8:00,22.26463077
1/9/2025 8:10,24.32152231
1/9/2025 8:20,24.73820671
1/9/2025 8:30,26.02610485
1/9/2025 8:40,25.62073491
1/9/2025 8:50,24.18535859
1/9/2025 9:00,24.62935376
1/9/2025 9:10,24.00705824
1/9/2025 9:20,23.0207491
1/9/2025 9:30,22.29896432
1/9/2025 9:40,21.07544158
1/9/2025 9:50,19.08409591
1/9/2025 10:00,17.1785841
1/9/2025 10:10,14.25438036
1/9/2025 10:20,15.0815067
1/9/2025 10:30,17.17234163
1/9/2025 10:40,15.43459601
1/9/2025 10:50,13.18769951
1/9/2025 11:00,10.09846067
1/9/2025 11:10,7.285840959
1/9/2025 11:20,5.911718805
1/9/2025 11:30,6.073632688
1/9/2025 11:40,7.018195361
1/9/2025 11:50,7.952614031
1/9/2025 12:00,8.531992623
1/9/2025 12:10,12.14403774
1/9/2025 12:20,22.96495708
1/9/2025 12:30,21.42697028
1/9/2025 12:40,17.0751933
1/9/2025 12:50,15.51106618
1/9/2025 13:00,13.00393701
1/9/2025 13:10,12.08278357
1/9/2025 13:20,15.12520394
1/9/2025 13:30,18.08686245
1/9/2025 13:40,18.54763425
1/9/2025 13:50,17.49694971
1/9/2025 14:00,14.71086047
1/9/2025 14:10,12.04962049
1/9/2025 14:20,10.12538129
1/9/2025 14:30,8.25303256
1/9/2025 14:40,7.165673548
1/9/2025 14:50,7.044335674
1/9/2025 15:00,6.436085692
1/9/2025 15:10,5.366283606
1/9/2025 15:20,6.680712208
1/9/2025 15:30,7.522664397
1/9/2025 15:40,8.417287366
1/9/2025 15:50,11.31300986
1/9/2025 16:00,14.70578847
1/9/2025 16:10,14.30900192
1/9/2025 16:20,11.66375825
1/9/2025 16:30,11.68950841
1/9/2025 16:40,13.61647868
1/9/2025 16:50,15.70536284
1/9/2025 17:00,18.24721572
1/9/2025 17:10,16.41583316
1/9/2025 17:20,12.43119103
1/9/2025 17:30,14.49198411
1/9/2025 17:40,19.02674328
1/9/2025 17:50,24.8213095
1/9/2025 18:00,31.55770731
1/9/2025 18:10,28.9577215
1/9/2025 18:20,22.30520678
1/9/2025 18:30,21.26739732
1/9/2025 18:40,21.99893594
1/9/2025 18:50,22.92750231
1/9/2025 19:00,23.90288714
1/9/2025 19:10,23.86972405
1/9/2025 19:20,23.32741009
1/9/2025 19:30,20.72079166
1/9/2025 19:40,17.56951834
1/9/2025 19:50,14.57196567
1/9/2025 20:00,12.8642619
1/9/2025 20:10,15.77988224
1/9/2025 20:20,22.29272186
1/9/2025 20:30,20.98375541
1/9/2025 20:40,17.87930056
1/9/2025 20:50,14.17634958
1/9/2025 21:00,10.74143435
1/9/2025 21:10,11.23536923
1/9/2025 21:20,15.69521884
1/9/2025 21:30,14.28949422
1/9/2025 21:40,10.97630702
1/9/2025 21:50,7.578846563
1/9/2025 22:00,5.328438675
1/9/2025 22:10,4.927360431
1/9/2025 22:20,7.525395474
1/9/2025 22:30,8.669326807
1/9/2025 22:40,8.455522452
1/9/2025 22:50,6.67095836
1/9/2025 23:00,4.283996595
1/9/2025 23:10,3.639462297
1/9/2025 23:20,8.279563028
1/9/2025 23:30,9.144534298
1/9/2025 23:40,6.878130099
1/9/2025 23:50,3.91452082
