Datetime,Discharge,Corresponding_known_discharge
1/6/2025 22:00,8.148081152,7.4
1/6/2025 22:10,8.743716157,9.0
1/6/2025 22:20,11.70465938,12.0
1/6/2025 22:30,13.82709678,13.4
1/6/2025 22:40,12.72523705,13.4
1/6/2025 22:50,9.240837294,9.0
1/6/2025 23:00,5.934282708,5.5
1/6/2025 23:10,4.309616703,4.2
1/6/2025 23:20,6.814730084,7.4
1/6/2025 23:30,7.266333262,7.4
1/6/2025 23:40,5.31653898,5.5
1/6/2025 23:50,3.535486274,3.0
1/7/2025 0:00,2.874686103,3.0
1/7/2025 0:10,4.033257667,4.2
1/7/2025 0:20,8.729410513,9.0
1/7/2025 0:30,10.36968267,10.6
1/7/2025 0:40,9.738283559,9.0
1/7/2025 0:50,9.684312265,9.0
1/7/2025 1:00,8.721607434,9.0
1/7/2025 1:10,7.116449126,7.4
1/7/2025 1:20,7.765730297,7.4
1/7/2025 1:30,7.678921047,7.4
1/7/2025 1:40,6.341343312,5.5
1/7/2025 1:50,4.598980871,4.2
1/7/2025 2:00,2.804268515,3.0
1/7/2025 2:10,2.568508471,3.0
1/7/2025 2:20,4.746914237,4.2
1/7/2025 2:30,5.487231326,5.5
1/7/2025 2:40,5.402697974,5.5
1/7/2025 2:50,3.429169327,3.0
1/7/2025 3:00,2.138487378,2.0
1/7/2025 3:10,1.581681951,2.0
1/7/2025 3:20,2.238803849,2.0
1/7/2025 3:30,2.938568415,3.0
1/7/2025 3:40,3.278634934,3.0
1/7/2025 3:50,2.892821491,3.0
1/7/2025 4:00,2.641540168,3.0
1/7/2025 4:10,2.49694721,2.0
1/7/2025 4:20,2.622914635,3.0
1/7/2025 4:30,2.72535507,3.0
1/7/2025 4:40,2.691861785,3.0
1/7/2025 4:50,2.994118253,3.0
1/7/2025 5:00,4.211753092,4.2
1/7/2025 5:10,5.420254901,5.5
1/7/2025 5:20,4.611660873,4.2
1/7/2025 5:30,5.820162682,5.5
1/7/2025 5:40,9.520447613,9.0
1/7/2025 5:50,13.21715613,13.4
1/7/2025 6:00,15.86044903,15.3
1/7/2025 6:10,13.67916342,13.4
1/7/2025 6:20,7.581382564,7.4
1/7/2025 6:30,7.77093235,7.4
1/7/2025 6:40,11.95370764,12.0
1/7/2025 6:50,17.79821357,18.8
1/7/2025 7:00,24.85902438,29.2
1/7/2025 7:10,20.61024804,18.8
1/7/2025 7:20,10.9425587,10.6
1/7/2025 7:30,9.485658887,9.0
1/7/2025 7:40,13.26169871,13.4
1/7/2025 7:50,18.69719326,18.8
1/7/2025 8:00,20.82385732,18.8
1/7/2025 8:10,18.05994183,18.8
1/7/2025 8:20,14.29398099,13.4
1/7/2025 8:30,14.74038211,15.3
1/7/2025 8:40,16.05032395,15.3
1/7/2025 8:50,16.69212717,15.3
1/7/2025 9:00,15.5668582,15.3
1/7/2025 9:10,13.92203424,13.4
1/7/2025 9:20,13.91683219,13.4
1/7/2025 9:30,14.81028469,15.3
1/7/2025 9:40,14.93155754,15.3
1/7/2025 9:50,14.63406517,15.3
1/7/2025 10:00,14.53685181,15.3
1/7/2025 10:10,15.50313305,15.3
1/7/2025 10:20,16.57670663,15.3
1/7/2025 10:30,14.78947648,15.3
1/7/2025 10:40,12.26843182,12.0
1/7/2025 10:50,10.2308529,10.6
1/7/2025 11:00,8.728760256,9.0
1/7/2025 11:10,8.546363292,9.0
1/7/2025 11:20,10.10307749,10.6
1/7/2025 11:30,10.68213095,10.6
1/7/2025 11:40,11.3714029,12.0
1/7/2025 11:50,12.70442884,13.4
1/7/2025 12:00,12.56072214,12.0
1/7/2025 12:10,15.27781916,15.3
1/7/2025 12:20,19.75906221,18.8
1/7/2025 12:30,16.50225225,15.3
1/7/2025 12:40,12.55064316,12.0
1/7/2025 12:50,10.81998534,10.6
1/7/2025 13:00,9.610833274,9.0
1/7/2025 13:10,8.852309002,9.0
1/7/2025 13:20,10.90549408,10.6
1/7/2025 13:30,11.67507271,12.0
1/7/2025 13:40,10.6080017,10.6
1/7/2025 13:50,10.84241919,10.6
1/7/2025 14:00,11.60614552,12.0
1/7/2025 14:10,11.1057731,10.6
1/7/2025 14:20,10.93963255,10.6
1/7/2025 14:30,12.39490672,12.0
1/7/2025 14:40,13.20154998,13.4
1/7/2025 14:50,13.12124329,13.4
1/7/2025 15:00,13.3433059,13.4
1/7/2025 15:10,13.49611619,13.4
1/7/2025 15:20,12.80326783,13.4
1/7/2025 15:30,11.78756709,12.0
1/7/2025 15:40,11.59801731,12.0
1/7/2025 15:50,12.91933863,13.4
1/7/2025 16:00,13.89634911,13.4
1/7/2025 16:10,13.03898584,13.4
1/7/2025 16:20,10.36252985,10.6
1/7/2025 16:30,9.005444421,9.0
1/7/2025 16:40,9.511018893,9.0
1/7/2025 16:50,10.84306945,10.6
1/7/2025 17:00,12.10391691,12.0
1/7/2025 17:10,12.87219503,13.4
1/7/2025 17:20,14.25561585,13.4
1/7/2025 17:30,18.14707621,18.8
1/7/2025 17:40,20.74810243,18.8
1/7/2025 17:50,23.68661181,18.8
1/7/2025 18:00,28.37691235,29.2
1/7/2025 18:10,29.37765718,29.2
1/7/2025 18:20,30.21063583,29.2
1/7/2025 18:30,32.65560048,29.2
1/7/2025 18:40,35.0,29.2
1/7/2025 18:50,35.0,29.2
1/7/2025 19:00,35.0,29.2
1/7/2025 19:10,32.74956255,29.2
1/7/2025 19:20,28.08982408,29.2
1/7/2025 19:30,23.46910099,18.8
1/7/2025 19:40,19.80327966,18.8
1/7/2025 19:50,16.51070559,15.3
1/7/2025 20:00,13.85278192,13.4
1/7/2025 20:10,13.79328344,13.4
1/7/2025 20:20,16.42519685,15.3
1/7/2025 20:30,15.91084391,15.3
1/7/2025 20:40,14.49978719,15.3
1/7/2025 20:50,12.28598874,12.0
1/7/2025 21:00,10.78292072,10.6
1/7/2025 21:10,12.32955593,12.0
1/7/2025 21:20,16.77893642,15.3
1/7/2025 21:30,18.30801471,18.8
1/7/2025 21:40,17.10471495,18.8
1/7/2025 21:50,14.39899742,15.3
1/7/2025 22:00,11.82398146,12.0
1/7/2025 22:10,12.49049443,12.0
1/7/2025 22:20,16.38227992,15.3
1/7/2025 22:30,16.05715164,15.3
1/7/2025 22:40,13.67981367,13.4
1/7/2025 22:50,9.720726632,9.0
1/7/2025 23:00,6.95908704,7.4
1/7/2025 23:10,7.783612353,7.4
1/7/2025 23:20,11.63345629,12.0
1/7/2025 23:30,10.63303658,10.6
1/7/2025 23:40,8.544087394,9.0
1/7/2025 23:50,7.192854272,7.4
1/8/2025 0:00,5.593873401,5.5
1/8/2025 0:10,6.549100281,7.4
1/8/2025 0:20,14.13174198,13.4
1/8/2025 0:30,16.18167577,15.3
1/8/2025 0:40,15.57336076,15.3
1/8/2025 0:50,14.1688066,13.4
1/8/2025 1:00,12.12635076,12.0
1/8/2025 1:10,11.89095789,12.0
1/8/2025 1:20,13.89309782,13.4
1/8/2025 1:30,14.13856967,13.4
1/8/2025 1:40,12.56852522,12.0
1/8/2025 1:50,10.00261285,10.6
1/8/2025 2:00,7.706231822,7.4
1/8/2025 2:10,6.863174198,7.4
1/8/2025 2:20,8.736238207,9.0
1/8/2025 2:30,8.204653472,9.0
1/8/2025 2:40,6.640136199,7.4
1/8/2025 2:50,5.071717387,5.5
1/8/2025 3:00,3.448677023,3.0
1/8/2025 3:10,2.991340761,3.0
1/8/2025 3:20,5.723599584,5.5
1/8/2025 3:30,6.288672531,5.5
1/8/2025 3:40,5.410826181,5.5
1/8/2025 3:50,4.811614764,4.2
1/8/2025 4:00,4.208826937,4.2
1/8/2025 4:10,3.112819512,3.0
1/8/2025 4:20,2.208578202,2.0
1/8/2025 4:30,1.748821608,2.0
1/8/2025 4:40,1.68967737,2.0
1/8/2025 4:50,1.886062382,2.0
1/8/2025 5:00,2.641213405,3.0
1/8/2025 5:10,4.106086401,4.2
1/8/2025 5:20,3.534185761,3.0
1/8/2025 5:30,3.977660732,4.2
1/8/2025 5:40,5.654997517,5.5
1/8/2025 5:50,8.41663711,9.0
1/8/2025 6:00,10.81348277,10.6
1/8/2025 6:10,10.79364995,10.6
1/8/2025 6:20,6.729546476,7.4
1/8/2025 6:30,7.659088222,7.4
1/8/2025 6:40,13.31827103,13.4
1/8/2025 6:50,19.41084983,18.8
1/8/2025 7:00,22.73593672,18.8
1/8/2025 7:10,17.86616538,18.8
1/8/2025 7:20,9.048036225,9.0
1/8/2025 7:30,9.097455723,9.0
1/8/2025 7:40,14.43541179,15.3
1/8/2025 7:50,19.97299662,18.8
1/8/2025 8:00,22.68651723,18.8
1/8/2025 8:10,22.92789246,18.8
1/8/2025 8:20,18.3092502,18.8
1/8/2025 8:30,16.405299,15.3
1/8/2025 8:40,16.84890402,15.3
1/8/2025 8:50,18.02131659,18.8
1/8/2025 9:00,18.17893878,18.8
1/8/2025 9:10,16.8660708,15.3
1/8/2025 9:20,14.15996311,13.4
1/8/2025 9:30,12.9438533,13.4
1/8/2025 9:40,13.47524296,13.4
1/8/2025 9:50,13.13736965,13.4
1/8/2025 10:00,11.65088317,12.0
1/8/2025 10:10,11.70121302,12.0
1/8/2025 10:20,13.71479747,13.4
1/8/2025 10:30,12.76711357,13.4
1/8/2025 10:40,11.61654962,12.0
1/8/2025 10:50,9.988047102,10.6
1/8/2025 11:00,8.362275661,9.0
1/8/2025 11:10,6.531673406,7.4
1/8/2025 11:20,4.249272895,4.2
1/8/2025 11:30,4.341349223,4.2
1/8/2025 11:40,5.996382209,5.5
1/8/2025 11:50,7.295984961,7.4
1/8/2025 12:00,7.272185571,7.4
1/8/2025 12:10,10.70475988,10.6
1/8/2025 12:20,20.20695893,18.8
1/8/2025 12:30,17.90309995,18.8
1/8/2025 12:40,12.72107541,13.4
1/8/2025 12:50,9.062992126,9.0
1/8/2025 13:00,8.480882457,9.0
1/8/2025 13:10,10.57210754,10.6
1/8/2025 13:20,18.16723416,18.8
1/8/2025 13:30,20.22607647,18.8
1/8/2025 13:40,20.32790665,18.8
1/8/2025 13:50,21.56976662,18.8
1/8/2025 14:00,21.38990565,18.8
1/8/2025 14:10,19.94516564,18.8
1/8/2025 14:20,18.9350571,18.8
1/8/2025 14:30,18.10519969,18.8
1/8/2025 14:40,17.6206285,18.8
1/8/2025 14:50,17.41384692,18.8
1/8/2025 15:00,15.01244946,15.3
1/8/2025 15:10,12.52287721,12.0
1/8/2025 15:20,11.00361779,10.6
1/8/2025 15:30,10.17922253,10.6
1/8/2025 15:40,11.31105909,12.0
1/8/2025 15:50,14.3819607,15.3
