Datetime,Discharge
1/6/2025 0:00,1.597203229
1/6/2025 0:10,2.260468285
1/6/2025 0:20,11.27516493
1/6/2025 0:30,13.44403064
1/6/2025 0:40,11.49950344
1/6/2025 0:50,9.056749663
1/6/2025 1:00,7.487550543
1/6/2025 1:10,7.236681563
1/6/2025 1:20,8.678300348
1/6/2025 1:30,8.433283677
1/6/2025 1:40,7.399765908
1/6/2025 1:50,6.321380436
1/6/2025 2:00,5.144286018
1/6/2025 2:10,4.839185642
1/6/2025 2:20,7.044335674
1/6/2025 2:30,7.270234802
1/6/2025 2:40,6.125133007
1/6/2025 2:50,4.7853444
1/6/2025 3:00,3.827906647
1/6/2025 3:10,4.001525147
1/6/2025 3:20,5.775164929
1/6/2025 3:30,6.327232745
1/6/2025 3:40,5.804816628
1/6/2025 3:50,5.595694119
1/6/2025 4:00,5.477867631
1/6/2025 4:10,5.396325459
1/6/2025 4:20,5.406469462
1/6/2025 4:30,5.830566787
1/6/2025 4:40,7.992019579
1/6/2025 4:50,9.578385472
1/6/2025 5:00,10.5182663
1/6/2025 5:10,9.666560261
1/6/2025 5:20,7.631907498
1/6/2025 5:30,8.999397035
1/6/2025 5:40,12.00202171
1/6/2025 5:50,16.43924239
1/6/2025 6:00,23.21504575
1/6/2025 6:10,20.3723842
1/6/2025 6:20,11.16943321
1/6/2025 6:30,10.45584167
1/6/2025 6:40,14.69330354
1/6/2025 6:50,22.36216926
1/6/2025 7:00,30.20231255
1/6/2025 7:10,24.56341775
1/6/2025 7:20,12.67854863
1/6/2025 7:30,9.728204583
1/6/2025 7:40,12.57944953
1/6/2025 7:50,18.16684401
1/6/2025 8:00,21.45623182
1/6/2025 8:10,19.35564304
1/6/2025 8:20,14.75494786
1/6/2025 8:30,14.42721856
1/6/2025 8:40,14.56338228
1/6/2025 8:50,13.44090941
1/6/2025 9:00,13.32737462
1/6/2025 9:10,12.15652266
1/6/2025 9:20,10.13591544
1/6/2025 9:30,8.86206285
1/6/2025 9:40,8.618606796
1/6/2025 9:50,8.642016032
1/6/2025 10:00,9.261190324
1/6/2025 10:10,11.08281904
1/6/2025 10:20,14.90398666
1/6/2025 10:30,15.9733986
1/6/2025 10:40,15.04756331
1/6/2025 10:50,12.62899908
1/6/2025 11:00,10.15314724
1/6/2025 11:10,8.659182805
1/6/2025 11:20,8.392902745
1/6/2025 11:30,8.375670947
1/6/2025 11:40,9.083475207
1/6/2025 11:50,10.78292072
1/6/2025 12:00,11.40098957
1/6/2025 12:10,11.12950746
1/6/2025 12:20,13.15180535
1/6/2025 12:30,11.41529522
1/6/2025 12:40,8.065823698
1/6/2025 12:50,5.37701284
1/6/2025 13:00,4.241014637
1/6/2025 13:10,3.648305786
1/6/2025 13:20,4.586625996
1/6/2025 13:30,5.887789364
1/6/2025 13:40,6.887558819
1/6/2025 13:50,7.421744579
1/6/2025 14:00,7.73874465
1/6/2025 14:10,9.066568537
1/6/2025 14:20,10.41194935
1/6/2025 14:30,10.87330638
1/6/2025 14:40,10.83201509
1/6/2025 14:50,10.9471105
1/6/2025 15:00,12.39978364
1/6/2025 15:10,12.50577546
1/6/2025 15:20,11.0966695
1/6/2025 15:30,11.257608
1/6/2025 15:40,12.28143695
1/6/2025 15:50,13.1742392
1/6/2025 16:00,13.4444208
1/6/2025 16:10,12.43977442
1/6/2025 16:20,11.1311331
1/6/2025 16:30,10.27279445
1/6/2025 16:40,9.976602587
1/6/2025 16:50,10.29035137
1/6/2025 17:00,10.65319453
1/6/2025 17:10,9.378366556
1/6/2025 17:20,6.650215176
1/6/2025 17:30,7.015334232
1/6/2025 17:40,9.241162422
1/6/2025 17:50,11.96346149
1/6/2025 18:00,15.35715046
1/6/2025 18:10,16.11665011
1/6/2025 18:20,15.37763354
1/6/2025 18:30,16.15306448
1/6/2025 18:40,17.19445036
1/6/2025 18:50,18.12301672
1/6/2025 19:00,17.7962628
1/6/2025 19:10,17.26500319
1/6/2025 19:20,17.43146887
1/6/2025 19:30,15.35129815
1/6/2025 19:40,12.70637961
1/6/2025 19:50,10.13136365
1/6/2025 20:00,8.540510983
1/6/2025 20:10,10.20224161
1/6/2025 20:20,15.64456386
1/6/2025 20:30,16.1498132
1/6/2025 20:40,14.7517616
1/6/2025 20:50,12.70345345
1/6/2025 21:00,10.07869287
1/6/2025 21:10,9.189141898
1/6/2025 21:20,12.07660613
1/6/2025 21:30,12.41051288
1/6/2025 21:40,10.78096995
1/6/2025 21:50,8.909856707
1/6/2025 22:00,8.148081152
1/6/2025 22:10,8.743716157
1/6/2025 22:20,11.70465938
1/6/2025 22:30,13.82709678
1/6/2025 22:40,12.72523705
1/6/2025 22:50,9.240837294
1/6/2025 23:00,5.934282708
1/6/2025 23:10,4.309616703
1/6/2025 23:20,6.814730084
1/6/2025 23:30,7.266333262
1/6/2025 23:40,5.31653898
1/6/2025 23:50,3.535486274
1/7/2025 0:00,2.874686103
1/7/2025 0:10,4.033257667
1/7/2025 0:20,8.729410513
1/7/2025 0:30,10.36968267
1/7/2025 0:40,9.738283559
1/7/2025 0:50,9.684312265
1/7/2025 1:00,8.721607434
1/7/2025 1:10,7.116449126
1/7/2025 1:20,7.765730297
1/7/2025 1:30,7.678921047
1/7/2025 1:40,6.341343312
1/7/2025 1:50,4.598980871
1/7/2025 2:00,2.804268515
1/7/2025 2:10,2.568508471
1/7/2025 2:20,4.746914237
1/7/2025 2:30,5.487231326
1/7/2025 2:40,5.402697974
1/7/2025 2:50,3.429169327
1/7/2025 3:00,2.138487378
1/7/2025 3:10,1.581681951
1/7/2025 3:20,2.238803849
1/7/2025 3:30,2.938568415
1/7/2025 3:40,3.278634934
1/7/2025 3:50,2.892821491
1/7/2025 4:00,2.641540168
1/7/2025 4:10,2.49694721
1/7/2025 4:20,2.622914635
1/7/2025 4:30,2.72535507
1/7/2025 4:40,2.691861785
1/7/2025 4:50,2.994118253
1/7/2025 5:00,4.211753092
1/7/2025 5:10,5.420254901
1/7/2025 5:20,4.611660873
1/7/2025 5:30,5.820162682
1/7/2025 5:40,9.520447613
1/7/2025 5:50,13.21715613
1/7/2025 6:00,15.86044903
1/7/2025 6:10,13.67916342
1/7/2025 6:20,7.581382564
1/7/2025 6:30,7.77093235
1/7/2025 6:40,11.95370764
1/7/2025 6:50,17.79821357
1/7/2025 7:00,24.85902438
1/7/2025 7:10,20.61024804
1/7/2025 7:20,10.9425587
1/7/2025 7:30,9.485658887
1/7/2025 7:40,13.26169871
1/7/2025 7:50,18.69719326
1/7/2025 8:00,20.82385732
1/7/2025 8:10,18.05994183
1/7/2025 8:20,14.29398099
1/7/2025 8:30,14.74038211
1/7/2025 8:40,16.05032395
1/7/2025 8:50,16.69212717
1/7/2025 9:00,15.5668582
1/7/2025 9:10,13.92203424
1/7/2025 9:20,13.91683219
1/7/2025 9:30,14.81028469
1/7/2025 9:40,14.93155754
1/7/2025 9:50,14.63406517
1/7/2025 10:00,14.53685181
1/7/2025 10:10,15.50313305
1/7/2025 10:20,16.57670663
1/7/2025 10:30,14.78947648
1/7/2025 10:40,12.26843182
1/7/2025 10:50,10.2308529
1/7/2025 11:00,8.728760256
1/7/2025 11:10,8.546363292
1/7/2025 11:20,10.10307749
1/7/2025 11:30,10.68213095
1/7/2025 11:40,11.3714029
1/7/2025 11:50,12.70442884
1/7/2025 12:00,12.56072214
1/7/2025 12:10,15.27781916
1/7/2025 12:20,19.75906221
1/7/2025 12:30,16.50225225
1/7/2025 12:40,12.55064316
1/7/2025 12:50,10.81998534
1/7/2025 13:00,9.610833274
1/7/2025 13:10,8.852309002
1/7/2025 13:20,10.90549408
1/7/2025 13:30,11.67507271
1/7/2025 13:40,10.6080017
1/7/2025 13:50,10.84241919
1/7/2025 14:00,11.60614552
1/7/2025 14:10,11.1057731
1/7/2025 14:20,10.93963255
1/7/2025 14:30,12.39490672
1/7/2025 14:40,13.20154998
1/7/2025 14:50,13.12124329
1/7/2025 15:00,13.3433059
1/7/2025 15:10,13.49611619
1/7/2025 15:20,12.80326783
1/7/2025 15:30,11.78756709
1/7/2025 15:40,11.59801731
1/7/2025 15:50,12.91933863
1/7/2025 16:00,13.89634911
1/7/2025 16:10,13.03898584
1/7/2025 16:20,10.36252985
1/7/2025 16:30,9.005444421
1/7/2025 16:40,9.511018893
1/7/2025 16:50,10.84306945
1/7/2025 17:00,12.10391691
1/7/2025 17:10,12.87219503
1/7/2025 17:20,14.25561585
1/7/2025 17:30,18.14707621
1/7/2025 17:40,20.74810243
1/7/2025 17:50,23.68661181
1/7/2025 18:00,28.37691235
1/7/2025 18:10,29.37765718
1/7/2025 18:20,30.21063583
1/7/2025 18:30,32.65560048
1/7/2025 18:40,35
1/7/2025 18:50,35
1/7/2025 19:00,35
1/7/2025 19:10,32.74956255
1/7/2025 19:20,28.08982408
1/7/2025 19:30,23.46910099
1/7/2025 19:40,19.80327966
1/7/2025 19:50,16.51070559
1/7/2025 20:00,13.85278192
1/7/2025 20:10,13.79328344
1/7/2025 20:20,16.42519685
1/7/2025 20:30,15.91084391
1/7/2025 20:40,14.49978719
1/7/2025 20:50,12.28598874
1/7/2025 21:00,10.78292072
1/7/2025 21:10,12.32955593
1/7/2025 21:20,16.77893642
